"bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","class"
0,2,7,8,5,6,4,15,39,367,"acantharia_protist"
0,5,6,6,10,10,9,16,54,921,"acantharia_protist"
0,0,0,0,3,0,1,23,21,238,"acantharia_protist"
0,12,13,12,4,11,21,40,100,1142,"acantharia_protist"
0,8,7,8,3,9,6,23,92,1117,"acantharia_protist"
0,0,3,13,4,4,7,12,16,584,"acantharia_protist"
0,3,15,7,4,8,2,5,27,541,"acantharia_protist"
0,6,18,8,8,12,6,18,39,580,"acantharia_protist"
0,2,6,6,6,9,23,41,81,798,"acantharia_protist"
0,15,23,21,9,4,1,3,23,778,"acantharia_protist"
0,0,18,10,11,5,3,5,10,292,"acantharia_protist"
0,0,0,3,2,1,1,8,39,226,"acantharia_protist"
0,0,0,1,3,0,1,4,35,259,"acantharia_protist"
0,5,20,14,8,12,15,44,119,1208,"acantharia_protist"
0,20,11,5,8,3,3,16,71,957,"acantharia_protist"
0,18,9,8,6,3,3,13,85,747,"acantharia_protist"
0,7,11,9,3,7,7,16,50,729,"acantharia_protist"
0,0,0,11,16,13,9,10,7,291,"acantharia_protist"
0,1,3,2,6,6,4,13,29,356,"acantharia_protist"
0,0,0,3,2,3,3,4,63,157,"acantharia_protist"
0,8,14,20,9,8,8,14,80,992,"acantharia_protist"
0,19,9,9,3,10,7,20,80,741,"acantharia_protist"
0,6,18,9,3,6,9,2,12,484,"acantharia_protist"
0,9,4,5,2,8,7,17,46,544,"acantharia_protist"
0,0,6,18,7,9,3,9,37,312,"acantharia_protist"
0,11,13,7,5,8,7,26,94,1173,"acantharia_protist"
0,14,16,4,6,7,8,25,98,731,"acantharia_protist"
0,0,9,29,9,6,5,8,22,524,"acantharia_protist"
0,1,16,8,10,15,46,109,149,554,"acantharia_protist"
0,0,0,13,9,9,8,12,40,528,"acantharia_protist"
0,3,2,1,6,5,19,42,75,714,"acantharia_protist"
0,5,11,9,6,5,8,24,102,879,"acantharia_protist"
0,9,7,3,4,5,5,39,61,631,"acantharia_protist"
2,24,8,10,3,2,8,6,28,291,"acantharia_protist"
0,8,13,6,14,18,29,71,139,1564,"acantharia_protist"
0,0,3,2,6,16,27,30,33,274,"acantharia_protist"
0,0,0,2,2,2,0,2,18,197,"acantharia_protist"
0,6,25,22,7,13,21,46,117,1302,"acantharia_protist"
0,11,21,9,20,18,32,35,87,1353,"acantharia_protist"
0,0,23,16,11,13,22,31,122,818,"acantharia_protist"
0,10,5,5,11,1,10,19,70,690,"acantharia_protist"
0,11,17,14,10,9,15,80,165,1112,"acantharia_protist"
0,0,5,10,4,4,3,8,31,587,"acantharia_protist"
0,1,7,12,3,8,9,6,40,528,"acantharia_protist"
0,23,20,11,9,7,8,11,34,753,"acantharia_protist"
0,8,7,7,6,3,4,43,50,819,"acantharia_protist"
0,3,17,18,10,16,19,25,84,1351,"acantharia_protist"
0,0,0,4,6,8,13,24,60,551,"acantharia_protist"
0,0,1,15,9,11,15,7,40,302,"acantharia_protist"
0,15,4,7,5,5,5,7,28,654,"acantharia_protist"
0,0,0,5,8,4,20,44,80,359,"acantharia_protist"
0,2,11,8,15,24,20,42,189,904,"acantharia_protist"
0,0,0,2,1,2,3,1,17,328,"acantharia_protist"
0,0,5,10,13,4,5,6,21,631,"acantharia_protist"
0,0,0,3,6,6,25,27,28,405,"acantharia_protist"
0,11,11,7,9,5,38,61,74,685,"acantharia_protist"
0,0,13,23,13,17,17,15,84,847,"acantharia_protist"
0,27,14,17,22,40,47,55,46,365,"acantharia_protist"
0,0,0,6,9,7,7,14,92,627,"acantharia_protist"
0,13,9,3,3,4,8,17,61,695,"acantharia_protist"
0,2,9,7,3,1,6,4,30,607,"acantharia_protist"
0,0,12,23,15,9,13,34,175,1014,"acantharia_protist"
0,14,13,11,7,11,4,17,66,593,"acantharia_protist"
0,35,23,7,12,5,13,19,50,592,"acantharia_protist"
0,0,9,12,7,10,7,7,29,614,"acantharia_protist"
0,0,0,0,1,5,0,2,16,287,"acantharia_protist"
0,0,0,1,8,15,4,15,25,434,"acantharia_protist"
0,0,9,8,9,5,12,7,48,531,"acantharia_protist"
0,0,14,5,7,6,11,9,60,584,"acantharia_protist"
0,0,5,7,9,4,8,10,23,658,"acantharia_protist"
0,0,5,18,8,11,14,32,114,971,"acantharia_protist"
0,10,40,14,13,8,10,17,40,418,"acantharia_protist"
0,16,11,7,5,2,9,23,89,762,"acantharia_protist"
0,0,4,5,6,12,16,15,46,566,"acantharia_protist"
0,5,2,15,25,37,54,70,108,646,"acantharia_protist"
0,1,10,15,11,14,11,20,56,637,"acantharia_protist"
0,0,0,2,8,14,11,10,29,824,"acantharia_protist"
0,17,9,10,9,11,14,37,83,824,"acantharia_protist"
9,99,56,28,28,32,31,50,186,1326,"acantharia_protist"
0,19,10,7,5,8,7,18,132,737,"acantharia_protist"
0,0,7,6,17,16,6,10,32,502,"acantharia_protist"
0,0,11,13,11,4,14,15,83,932,"acantharia_protist"
0,0,0,14,11,9,6,7,32,536,"acantharia_protist"
0,11,21,8,13,8,12,29,117,1123,"acantharia_protist"
0,0,0,0,5,1,5,3,6,261,"acantharia_protist"
0,6,13,11,13,11,7,37,74,771,"acantharia_protist"
0,0,4,11,5,11,25,41,108,776,"acantharia_protist"
0,1,12,17,16,11,14,13,48,659,"acantharia_protist"
0,7,20,9,8,11,6,12,31,604,"acantharia_protist"
0,29,20,6,7,6,9,23,39,743,"acantharia_protist"
0,1,9,7,10,13,14,16,32,466,"acantharia_protist"
0,0,0,2,3,1,2,4,10,366,"acantharia_protist"
0,9,12,13,9,16,16,28,69,1031,"acantharia_protist"
0,8,24,15,14,17,14,14,47,681,"acantharia_protist"
0,0,0,7,16,9,20,43,71,639,"acantharia_protist"
0,0,1,9,7,17,18,30,62,792,"acantharia_protist"
0,13,9,4,4,4,10,13,90,538,"acantharia_protist"
0,0,0,11,8,15,15,53,105,839,"acantharia_protist"
0,6,12,9,4,8,4,6,47,633,"acantharia_protist"
0,8,4,2,2,5,3,0,30,461,"acantharia_protist"
0,12,6,8,9,11,14,44,85,608,"acantharia_protist"
0,0,24,10,14,5,18,22,45,923,"acantharia_protist"
0,2,12,14,7,8,7,8,62,697,"acantharia_protist"
0,0,0,11,7,9,12,22,36,678,"acantharia_protist"
0,0,0,5,4,4,8,11,29,273,"acantharia_protist"
0,3,14,11,7,11,7,42,117,805,"acantharia_protist"
0,0,0,2,1,3,3,0,9,312,"acantharia_protist"
0,0,4,7,8,10,20,26,59,636,"acantharia_protist"
0,12,12,6,2,2,11,11,29,512,"acantharia_protist"
0,11,13,7,8,9,3,30,80,917,"acantharia_protist"
1,30,9,6,9,3,7,11,58,841,"acantharia_protist"
0,0,1,19,23,9,8,10,17,301,"acantharia_protist"
0,2,3,4,5,7,9,16,38,673,"acantharia_protist"
0,3,18,7,5,9,26,30,150,837,"acantharia_protist"
0,2,15,5,6,12,34,33,54,806,"acantharia_protist"
0,4,27,18,22,11,8,10,78,1054,"acantharia_protist"
0,1,7,4,5,6,6,27,35,394,"acantharia_protist"
0,2,16,11,8,11,10,13,69,671,"acantharia_protist"
0,1,8,8,6,7,6,12,65,599,"acantharia_protist"
0,0,0,4,3,5,7,16,45,329,"acantharia_protist"
0,0,23,29,15,9,8,41,124,1287,"acantharia_protist"
0,48,26,17,7,8,16,58,99,1150,"acantharia_protist"
0,2,10,6,7,4,2,6,17,404,"acantharia_protist"
0,18,25,9,7,11,17,63,119,910,"acantharia_protist"
0,17,8,8,7,5,13,13,102,722,"acantharia_protist"
0,1,13,13,5,14,17,35,94,1063,"acantharia_protist"
0,9,16,12,10,5,4,12,91,657,"acantharia_protist"
0,3,11,10,9,11,11,18,96,1182,"acantharia_protist"
0,0,0,1,2,5,2,8,46,230,"acantharia_protist"
0,4,3,5,11,11,11,16,40,497,"acantharia_protist"
0,6,21,19,9,11,17,54,167,1404,"acantharia_protist"
0,1,29,23,12,22,18,60,145,1640,"acantharia_protist"
1,33,8,9,6,2,6,5,29,502,"acantharia_protist"
0,0,9,8,12,10,4,6,40,628,"acantharia_protist"
0,15,26,12,11,6,12,4,6,357,"acantharia_protist"
0,1,28,11,18,11,11,11,57,935,"acantharia_protist"
0,0,16,12,10,4,8,16,42,617,"acantharia_protist"
0,13,10,9,8,4,12,24,90,814,"acantharia_protist"
0,0,3,2,2,2,2,3,9,423,"acantharia_protist"
0,20,12,7,5,5,7,5,105,739,"acantharia_protist"
0,0,0,2,0,1,1,5,35,240,"acantharia_protist"
0,0,0,2,4,1,5,22,62,379,"acantharia_protist"
1,15,31,11,7,8,20,22,28,775,"acantharia_protist"
0,26,41,19,15,11,11,26,124,910,"acantharia_protist"
0,0,9,7,4,6,4,13,45,703,"acantharia_protist"
0,16,5,7,1,6,3,18,82,789,"acantharia_protist"
0,0,9,6,7,9,4,21,50,528,"acantharia_protist"
0,2,23,16,16,11,31,26,50,764,"acantharia_protist"
0,7,29,11,8,4,6,10,91,701,"acantharia_protist"
0,30,18,12,9,17,9,39,161,2318,"acantharia_protist"
0,14,8,9,2,6,4,20,68,663,"acantharia_protist"
0,0,0,0,2,27,17,16,42,302,"acantharia_protist"
0,0,12,10,4,5,5,22,83,659,"acantharia_protist"
0,6,21,8,10,9,9,9,42,277,"acantharia_protist"
0,0,0,6,12,6,18,17,19,219,"acantharia_protist"
0,8,19,9,1,5,9,21,54,770,"acantharia_protist"
0,11,10,14,6,13,8,32,83,1013,"acantharia_protist"
0,0,0,3,7,7,15,23,46,618,"acantharia_protist"
0,0,0,0,1,18,33,44,41,251,"acantharia_protist"
0,1,9,13,3,4,7,19,36,484,"acantharia_protist"
0,0,3,16,17,25,15,53,77,1005,"acantharia_protist"
0,0,0,0,4,4,2,3,10,356,"acantharia_protist"
0,0,2,21,16,15,23,32,80,551,"acantharia_protist"
0,4,21,8,8,7,8,9,55,719,"acantharia_protist"
0,1,16,11,11,11,13,18,64,572,"acantharia_protist"
0,15,9,3,5,2,0,9,13,196,"acantharia_protist"
0,23,7,7,6,7,8,32,109,939,"acantharia_protist"
0,8,16,16,13,22,6,16,44,628,"acantharia_protist"
0,0,0,0,1,3,3,0,16,251,"acantharia_protist"
0,0,0,0,3,1,1,11,38,223,"acantharia_protist"
0,15,18,8,11,9,8,35,137,1123,"acantharia_protist"
0,7,18,18,28,37,48,35,61,591,"acantharia_protist"
0,0,23,16,5,7,10,16,66,922,"acantharia_protist"
0,9,17,11,13,5,9,12,92,997,"acantharia_protist"
0,0,0,3,9,9,5,12,101,621,"acantharia_protist"
1,26,11,7,5,7,5,7,29,627,"acantharia_protist"
6,23,10,8,6,3,3,5,8,380,"acantharia_protist"
0,0,1,2,1,3,1,2,31,429,"acantharia_protist"
0,6,20,12,3,5,5,17,72,797,"acantharia_protist"
0,0,8,20,18,16,16,18,48,691,"acantharia_protist"
0,4,12,6,5,6,10,9,68,903,"acantharia_protist"
0,0,2,9,2,2,3,4,43,487,"acantharia_protist"
0,12,15,14,12,28,21,48,90,683,"acantharia_protist"
0,1,18,10,15,8,10,23,95,878,"acantharia_protist"
0,0,16,18,18,26,19,27,38,962,"acantharia_protist"
0,39,55,36,36,39,79,94,250,3613,"acantharia_protist"
0,0,4,6,8,4,4,14,41,598,"acantharia_protist"
0,15,20,14,14,5,16,59,178,1684,"acantharia_protist"
0,0,5,9,12,16,16,7,33,693,"acantharia_protist"
0,0,0,0,0,5,26,40,24,202,"acantharia_protist"
0,35,35,14,8,14,4,22,60,835,"acantharia_protist"
0,22,7,10,8,1,11,10,14,221,"acantharia_protist"
0,11,27,35,28,31,25,38,70,971,"acantharia_protist"
0,15,11,3,5,3,5,10,69,486,"acantharia_protist"
0,1,18,11,11,5,14,18,96,1090,"acantharia_protist"
0,1,5,5,5,6,8,8,29,553,"acantharia_protist"
0,30,30,22,16,19,28,70,249,2456,"acantharia_protist"
0,24,17,8,9,6,8,19,101,804,"acantharia_protist"
0,54,20,10,6,16,12,21,55,852,"acantharia_protist"
0,6,15,5,6,9,8,15,35,480,"acantharia_protist"
0,11,9,7,8,6,2,12,139,935,"acantharia_protist"
0,4,21,19,12,12,9,9,44,1035,"acantharia_protist"
0,8,7,5,6,3,2,3,23,403,"acantharia_protist"
0,3,8,4,15,20,15,31,83,1398,"acantharia_protist"
0,5,12,5,2,3,6,6,13,424,"acantharia_protist"
0,22,12,16,5,6,21,21,60,692,"acantharia_protist"
0,0,13,8,9,4,5,13,43,751,"acantharia_protist"
0,0,4,7,7,4,10,18,64,710,"acantharia_protist"
0,2,17,8,10,14,20,10,32,814,"acantharia_protist"
0,0,2,4,11,20,28,40,78,786,"acantharia_protist"
0,17,11,7,7,9,6,15,56,744,"acantharia_protist"
0,8,14,11,2,8,19,64,86,798,"acantharia_protist"
0,12,15,7,9,10,6,16,76,746,"acantharia_protist"
0,3,4,5,1,2,4,3,20,192,"acantharia_protist"
0,0,3,13,12,14,23,37,56,488,"acantharia_protist"
0,0,2,2,1,1,4,32,78,447,"acantharia_protist"
0,3,17,9,4,11,7,8,22,611,"acantharia_protist"
0,1,7,6,5,5,9,6,22,567,"acantharia_protist"
0,6,9,6,7,4,7,8,36,521,"acantharia_protist"
0,0,0,1,1,2,2,23,16,182,"acantharia_protist"
0,0,2,10,2,2,11,9,40,562,"acantharia_protist"
0,7,7,7,7,10,14,24,46,308,"acantharia_protist"
0,13,11,5,7,4,18,40,149,1282,"acantharia_protist"
0,0,0,0,2,5,4,6,33,507,"acantharia_protist"
0,0,4,26,28,35,39,47,107,854,"acantharia_protist"
0,0,0,11,5,4,13,18,18,357,"acantharia_protist"
0,0,5,31,28,25,36,48,83,1028,"acantharia_protist"
0,12,6,12,5,9,11,11,28,706,"acantharia_protist"
0,2,5,2,3,2,5,18,60,543,"acantharia_protist"
0,0,10,13,14,20,19,26,94,864,"acantharia_protist"
0,0,0,2,1,2,3,1,3,306,"acantharia_protist"
0,0,0,4,2,2,3,5,23,296,"acantharia_protist"
0,0,1,32,17,15,11,9,29,1044,"acantharia_protist"
0,0,0,0,3,5,12,13,60,247,"acantharia_protist"
0,0,0,0,0,3,7,2,4,221,"acantharia_protist"
0,4,17,11,10,10,17,22,98,1370,"acantharia_protist"
0,3,18,7,6,7,5,20,56,527,"acantharia_protist"
0,8,2,7,2,4,7,11,72,1270,"acantharia_protist"
0,0,10,11,5,7,9,10,36,636,"acantharia_protist"
0,0,3,8,10,17,8,13,79,961,"acantharia_protist"
0,28,7,5,2,13,4,4,54,567,"acantharia_protist"
0,0,0,3,4,3,3,5,25,271,"acantharia_protist"
0,3,6,11,3,7,8,24,60,495,"acantharia_protist"
0,0,4,9,6,15,24,32,100,1255,"acantharia_protist"
0,5,16,8,9,8,9,20,83,768,"acantharia_protist"
0,0,0,0,3,2,2,2,19,350,"acantharia_protist"
0,9,6,9,7,11,8,11,55,626,"acantharia_protist"
0,0,7,10,4,4,6,8,45,679,"acantharia_protist"
0,0,3,15,9,6,8,13,25,635,"acantharia_protist"
0,2,12,9,4,15,15,17,68,1010,"acantharia_protist"
0,0,0,4,4,3,3,30,65,320,"acantharia_protist"
0,0,0,1,0,2,2,4,26,193,"acantharia_protist"
0,2,19,10,6,7,10,24,153,940,"acantharia_protist"
0,0,3,6,1,4,4,10,27,251,"acantharia_protist"
0,0,0,2,14,19,25,46,67,830,"acantharia_protist"
0,0,1,0,0,0,2,11,20,263,"acantharia_protist"
0,0,9,12,6,8,7,20,67,652,"acantharia_protist"
0,4,9,18,19,7,5,8,69,633,"acantharia_protist"
0,4,15,15,10,4,12,22,97,934,"acantharia_protist"
0,0,7,4,11,16,17,20,31,813,"acantharia_protist"
0,6,4,2,6,3,2,9,26,345,"acantharia_protist"
0,0,3,7,5,10,3,8,19,331,"acantharia_protist"
0,12,9,3,10,3,6,23,84,977,"acantharia_protist"
0,1,3,2,5,9,16,17,37,512,"acantharia_protist"
0,14,12,6,3,9,46,37,140,871,"acantharia_protist"
0,25,15,5,3,9,9,38,210,969,"acantharia_protist"
0,1,3,8,6,2,4,19,34,547,"acantharia_protist"
0,9,23,11,10,7,9,20,75,952,"acantharia_protist"
0,3,13,16,17,18,21,36,176,1028,"acantharia_protist"
0,7,12,10,12,11,19,51,84,920,"acantharia_protist"
0,7,18,8,5,9,11,12,44,812,"acantharia_protist"
0,14,8,4,5,2,4,13,34,639,"acantharia_protist"
0,0,5,9,8,7,4,14,25,456,"acantharia_protist"
0,0,10,11,12,6,10,22,32,759,"acantharia_protist"
0,0,0,0,0,4,5,16,29,679,"acantharia_protist"
0,23,8,5,4,4,4,3,10,393,"acantharia_protist"
0,15,9,7,6,4,9,11,57,608,"acantharia_protist"
0,1,21,9,5,8,6,13,31,272,"acantharia_protist"
0,1,35,15,11,14,13,33,146,1246,"acantharia_protist"
0,7,11,5,5,10,7,20,48,550,"acantharia_protist"
0,4,13,12,14,15,14,66,82,1290,"acantharia_protist"
0,0,17,12,5,9,11,17,111,981,"acantharia_protist"
0,0,1,3,3,3,4,17,59,383,"acantharia_protist"
0,6,7,6,4,2,5,8,23,356,"acantharia_protist"
0,0,33,15,7,10,11,7,18,592,"acantharia_protist"
0,4,4,3,2,9,17,22,39,775,"acantharia_protist"
0,0,7,6,8,7,7,11,57,680,"acantharia_protist"
0,12,10,2,7,7,16,23,118,838,"acantharia_protist"
0,27,25,17,31,24,37,102,222,1631,"acantharia_protist"
0,9,16,6,5,5,2,8,32,274,"acantharia_protist"
0,0,20,20,17,42,85,144,402,4623,"acantharia_protist"
0,17,23,17,14,20,11,25,120,1208,"acantharia_protist"
0,5,14,19,8,20,18,28,81,1055,"acantharia_protist"
0,0,12,11,1,3,6,12,71,797,"acantharia_protist"
0,22,29,22,13,11,29,39,69,963,"acantharia_protist"
0,0,0,2,0,2,6,3,20,414,"acantharia_protist"
0,8,10,5,10,12,2,22,98,803,"acantharia_protist"
0,2,14,13,5,7,7,7,42,711,"acantharia_protist"
0,9,8,4,3,1,5,3,36,537,"acantharia_protist"
0,1,25,13,7,11,3,8,52,880,"acantharia_protist"
0,15,11,4,5,7,9,52,126,1070,"acantharia_protist"
0,0,0,7,2,2,4,11,40,315,"acantharia_protist"
0,0,7,5,7,16,26,75,147,1382,"acantharia_protist"
0,0,2,21,28,15,14,16,22,272,"acantharia_protist"
0,0,15,19,14,15,25,51,139,1415,"acantharia_protist"
0,0,0,1,3,1,2,4,20,154,"acantharia_protist"
0,0,13,8,12,20,36,78,183,1953,"acantharia_protist"
0,0,13,14,4,13,4,9,13,353,"acantharia_protist"
0,0,14,23,9,9,7,12,16,418,"acantharia_protist"
0,7,27,26,32,30,18,35,117,1354,"acantharia_protist"
0,26,10,7,6,11,8,40,153,945,"acantharia_protist"
0,3,8,9,4,6,5,18,59,734,"acantharia_protist"
0,14,1,6,5,16,19,49,117,648,"acantharia_protist"
0,0,0,11,17,15,14,19,64,806,"acantharia_protist"
0,0,7,14,26,7,10,35,95,995,"acantharia_protist"
0,0,7,11,12,9,9,25,52,676,"acantharia_protist"
1,37,24,6,8,13,17,16,55,722,"acantharia_protist"
0,5,6,15,16,8,20,46,120,979,"acantharia_protist"
0,9,34,6,5,7,8,7,28,729,"acantharia_protist"
0,0,0,7,3,8,27,64,66,520,"acantharia_protist"
0,7,17,10,4,5,2,12,64,854,"acantharia_protist"
0,1,15,9,6,9,3,25,124,788,"acantharia_protist"
0,2,21,8,6,10,8,13,50,686,"acantharia_protist"
0,0,4,8,8,8,12,14,31,557,"acantharia_protist"
0,12,21,8,4,17,31,37,84,631,"acantharia_protist"
0,30,13,17,20,46,50,69,68,339,"acantharia_protist"
0,6,23,7,16,3,5,21,119,1129,"acantharia_protist"
0,14,12,7,7,6,10,19,88,900,"acantharia_protist"
0,1,25,8,5,11,5,18,55,753,"acantharia_protist"
0,4,27,25,11,21,20,44,157,1128,"acantharia_protist"
0,0,7,12,6,5,6,7,56,779,"acantharia_protist"
0,0,0,6,20,7,4,22,59,581,"acantharia_protist"
0,0,7,7,5,7,3,5,23,526,"acantharia_protist"
0,5,13,8,10,2,16,15,74,807,"acantharia_protist"
0,0,0,0,0,14,10,21,75,465,"acantharia_protist"
0,0,1,3,1,5,0,5,45,534,"acantharia_protist"
0,11,8,3,12,11,37,63,93,564,"acantharia_protist"
0,0,3,15,13,11,7,10,36,650,"acantharia_protist"
0,0,6,8,8,9,5,12,45,532,"acantharia_protist"
0,0,0,15,24,21,27,25,23,418,"acantharia_protist"
0,2,13,8,5,3,3,7,31,400,"acantharia_protist"
1,43,8,8,6,11,7,13,85,1055,"acantharia_protist"
0,10,14,10,7,4,7,12,43,651,"acantharia_protist"
0,1,28,14,9,8,8,16,33,761,"acantharia_protist"
0,1,20,10,9,13,20,28,50,729,"acantharia_protist"
0,0,6,10,11,3,5,6,18,353,"acantharia_protist"
0,0,10,17,14,6,6,13,45,751,"acantharia_protist"
0,2,7,9,6,7,8,15,72,1013,"acantharia_protist"
0,0,6,13,7,5,5,5,31,387,"acantharia_protist"
0,27,12,5,7,8,16,39,103,818,"acantharia_protist"
0,0,1,3,2,6,3,4,53,289,"acantharia_protist"
0,21,18,11,5,4,10,14,48,575,"acantharia_protist"
0,2,8,17,6,8,9,24,41,444,"acantharia_protist"
0,0,0,2,1,1,3,6,31,353,"acantharia_protist"
0,17,8,12,11,26,32,105,125,609,"acantharia_protist"
0,6,14,12,7,9,8,22,36,570,"acantharia_protist"
0,12,16,9,4,3,10,37,116,808,"acantharia_protist"
0,1,17,15,6,9,7,15,45,884,"acantharia_protist"
0,15,15,12,12,10,15,34,73,894,"acantharia_protist"
0,4,8,2,4,5,4,16,125,1057,"acantharia_protist"
0,0,9,15,3,5,6,5,22,710,"acantharia_protist"
0,10,34,11,4,11,39,77,100,1242,"acantharia_protist"
0,9,14,10,7,11,25,30,87,1499,"acantharia_protist"
0,7,15,5,11,3,9,13,23,397,"acantharia_protist"
0,47,49,86,162,253,331,577,1188,8691,"acantharia_protist"
0,0,11,6,7,8,19,48,72,264,"acantharia_protist"
0,1,6,4,15,10,10,14,46,632,"acantharia_protist"
0,11,13,6,7,10,10,21,112,1049,"acantharia_protist"
0,4,12,10,8,6,8,15,54,695,"acantharia_protist"
0,14,18,26,29,29,43,52,196,2245,"acantharia_protist"
0,30,11,7,10,8,12,42,149,1157,"acantharia_protist"
0,0,0,2,4,3,6,10,24,355,"acantharia_protist"
0,19,12,6,3,13,10,24,61,579,"acantharia_protist"
0,0,0,14,11,29,33,45,69,514,"acantharia_protist"
0,1,11,15,12,9,9,28,128,1250,"acantharia_protist"
0,0,11,12,9,10,8,31,127,950,"acantharia_protist"
0,0,1,1,1,1,1,4,42,377,"acantharia_protist"
0,6,18,7,2,11,14,17,100,871,"acantharia_protist"
0,0,3,2,0,0,11,14,23,304,"acantharia_protist"
0,0,9,9,9,22,13,17,16,403,"acantharia_protist"
1,30,9,6,10,5,9,48,164,1537,"acantharia_protist"
0,0,3,7,9,7,2,8,72,681,"acantharia_protist"
0,12,18,9,12,5,7,18,101,929,"acantharia_protist"
0,0,3,3,5,1,3,5,67,620,"acantharia_protist"
0,0,5,7,4,8,5,6,24,455,"acantharia_protist"
0,0,11,8,16,19,12,34,133,1401,"acantharia_protist"
0,0,0,2,3,1,3,12,44,343,"acantharia_protist"
0,0,0,7,7,6,2,8,30,491,"acantharia_protist"
0,61,77,141,171,189,254,484,1204,12651,"acantharia_protist"
0,7,7,11,8,8,15,42,101,831,"acantharia_protist"
0,0,1,10,6,5,5,11,53,716,"acantharia_protist"
0,2,9,5,9,20,25,28,97,828,"acantharia_protist"
0,13,13,5,0,8,6,28,96,909,"acantharia_protist"
0,0,14,11,4,8,15,36,37,390,"acantharia_protist"
0,22,12,2,6,9,6,10,28,459,"acantharia_protist"
0,0,0,0,1,3,1,3,12,242,"acantharia_protist"
0,0,15,7,6,5,3,8,26,473,"acantharia_protist"
0,1,5,4,3,6,5,5,14,575,"acantharia_protist"
0,27,27,24,22,17,30,27,85,952,"acantharia_protist"
0,0,3,2,6,5,5,12,41,465,"acantharia_protist"
0,7,7,5,2,5,1,18,67,560,"acantharia_protist"
0,0,0,1,3,1,3,11,51,255,"acantharia_protist"
0,28,22,5,5,3,6,5,14,330,"acantharia_protist"
0,0,13,19,15,10,18,34,115,1006,"acantharia_protist"
0,0,0,0,0,2,7,25,31,246,"acantharia_protist"
0,0,11,7,6,8,7,8,37,363,"acantharia_protist"
0,19,5,6,3,5,4,9,53,618,"acantharia_protist"
0,23,14,11,6,9,9,3,9,311,"acantharia_protist"
0,19,5,6,7,6,4,18,131,1164,"acantharia_protist"
0,0,0,2,1,0,1,7,36,247,"acantharia_protist"
0,0,0,0,3,0,3,2,8,166,"acantharia_protist"
0,0,6,10,10,7,16,22,72,801,"acantharia_protist"
0,4,14,9,6,6,5,5,24,612,"acantharia_protist"
0,0,1,3,4,8,7,7,18,435,"acantharia_protist"
0,0,0,1,1,1,5,6,27,240,"acantharia_protist"
0,5,78,36,13,19,12,27,66,646,"acantharia_protist"
0,1,16,9,3,16,11,9,64,836,"acantharia_protist"
